assignmentid	workerid	rt	evidence_type	language	age	gender	trial	enjoyment	asses	comments	Answer.time_in_minutes	response	evidence	item	Directness	EvidenceTypeCategorical
3RWE2M8QWH9KBJQGRQA64MS569ZN0E	3	6163	evidence4	english	49	Female	5	2	Yes		1.75056666666667	might	You check the weather report on the Internet, which says it is raining.	rain	0.742142857142857	reportative
3RWE2M8QWH9KBJQGRQA64MS569ZN0E	3	3595	evidence3	english	49	Female	6	2	Yes		1.75056666666667	might	Dinner is usually ready at around 6pm. You look at the clock and it is 6pm.	dinner	0.85	inferential
3RWE2M8QWH9KBJQGRQA64MS569ZN0E	3	8233	evidence2	english	49	Female	7	2	Yes		1.75056666666667	must	You hear the sound of a dog barking.	dog	0.734285714285714	inferential
3RWE2M8QWH9KBJQGRQA64MS569ZN0E	3	4580	evidence2	english	49	Female	8	2	Yes		1.75056666666667	might	You hear the sound of water dripping on the roof.	rain	0.9175	inferential
3RWE2M8QWH9KBJQGRQA64MS569ZN0E	3	4038	evidence1	english	49	Female	9	2	Yes		1.75056666666667	might	You just prepared dinner and set it out on the table.	dinner	0.93	perceptual
3RWE2M8QWH9KBJQGRQA64MS569ZN0E	3	3335	evidence2	english	49	Female	10	2	Yes		1.75056666666667	must	Your spouse tells you that dinner is ready.	dinner	0.93375	reportative
3RWE2M8QWH9KBJQGRQA64MS569ZN0E	3	5868	evidence5	english	49	Female	11	2	Yes		1.75056666666667	might	Earlier today, you had seen dark clouds in the sky.	rain	0.573333333333333	inferential
3RWE2M8QWH9KBJQGRQA64MS569ZN0E	3	7163	evidence3	english	49	Female	12	2	Yes		1.75056666666667	might	You are listening to music with your earphones. You look out the window and see that the mailman has just arrived at your neighbor's doorstep, when all of a sudden he jumps back.	dog	0.668333333333333	inferential
36ZN444YTRXD0Z78WVZPPFS6IDMIOK	4	9468	evidence5	English	22	Male	1	1	Yes		1.6636	might	You see that the cup isn't insulated.	coffee	0.5825	inferential
36ZN444YTRXD0Z78WVZPPFS6IDMIOK	4	9558	evidence1	English	22	Male	2	1	Yes		1.6636	bare	You just prepared dinner and set it out on the table.	dinner	0.93	perceptual
36ZN444YTRXD0Z78WVZPPFS6IDMIOK	4	10460	evidence3	English	22	Male	3	1	Yes		1.6636	probably	You are listening to music with your earphones. You look out the window and see that the mailman has just arrived at your neighbor's doorstep, when all of a sudden he jumps back.	dog	0.668333333333333	inferential
36ZN444YTRXD0Z78WVZPPFS6IDMIOK	4	5318	evidence5	English	22	Male	4	1	Yes		1.6636	might	Earlier today, you had seen dark clouds in the sky.	rain	0.573333333333333	inferential
36ZN444YTRXD0Z78WVZPPFS6IDMIOK	4	2975	evidence2	English	22	Male	5	1	Yes		1.6636	must	You hear the sound of water dripping on the roof.	rain	0.9175	inferential
36ZN444YTRXD0Z78WVZPPFS6IDMIOK	4	4421	evidence1	English	22	Male	6	1	Yes		1.6636	bare	You look out the window and see raindrops falling from the sky.	rain	0.935454545454545	perceptual
36ZN444YTRXD0Z78WVZPPFS6IDMIOK	4	5212	evidence2	English	22	Male	7	1	Yes		1.6636	bare	You hear the sound of a dog barking.	dog	0.734285714285714	inferential
36ZN444YTRXD0Z78WVZPPFS6IDMIOK	4	5384	evidence3	English	22	Male	8	1	Yes		1.6636	probably	You know that the coffee has been on the table for an hour.	coffee	0.95	inferential
36ZN444YTRXD0Z78WVZPPFS6IDMIOK	4	6474	evidence3	English	22	Male	9	1	Yes		1.6636	might	Dinner is usually ready at around 6pm. You look at the clock and it is 6pm.	dinner	0.85	inferential
36ZN444YTRXD0Z78WVZPPFS6IDMIOK	4	4236	evidence1	English	22	Male	10	1	Yes		1.6636	bare	You look outside and see Fluffy, the neighbor's dog, standing on the porch and barking.	dog	0.916	perceptual
36ZN444YTRXD0Z78WVZPPFS6IDMIOK	4	6596	evidence4	English	22	Male	11	1	Yes		1.6636	must	You smell food coming from the dining room.	dinner	0.655384615384615	inferential
36ZN444YTRXD0Z78WVZPPFS6IDMIOK	4	5277	evidence4	English	22	Male	12	1	Yes		1.6636	probably	You see that there isn't any steam coming from the coffee.	coffee	0.681818181818182	inferential
3QIYRE09Y3GKI8BYN9E6IRBFB15N1H	5	12902	evidence3	English	24	Male	1	1	Yes		2.4333	bare	You see a person come in from outside with wet hair and wet clothes.	rain	0.89	inferential
3QIYRE09Y3GKI8BYN9E6IRBFB15N1H	5	4458	evidence4	English	24	Male	2	1	Yes		2.4333	might	You see that there isn't any steam coming from the coffee.	coffee	0.681818181818182	inferential
3QIYRE09Y3GKI8BYN9E6IRBFB15N1H	5	6475	evidence2	English	24	Male	3	1	Yes		2.4333	might	You hear the sound of water dripping on the roof.	rain	0.9175	inferential
3QIYRE09Y3GKI8BYN9E6IRBFB15N1H	5	3966	evidence2	English	24	Male	4	1	Yes		2.4333	bare	Your spouse tells you that dinner is ready.	dinner	0.93375	reportative
3QIYRE09Y3GKI8BYN9E6IRBFB15N1H	5	3985	evidence1	English	24	Male	5	1	Yes		2.4333	bare	You take a sip of the coffee and feel that it is cold.	coffee	0.916	perceptual
3QIYRE09Y3GKI8BYN9E6IRBFB15N1H	5	5317	evidence4	English	24	Male	6	1	Yes		2.4333	might	You check the weather report on the Internet, which says it is raining.	rain	0.742142857142857	reportative
3QIYRE09Y3GKI8BYN9E6IRBFB15N1H	5	4862	evidence4	English	24	Male	7	1	Yes		2.4333	might	You smell food coming from the dining room.	dinner	0.655384615384615	inferential
3QIYRE09Y3GKI8BYN9E6IRBFB15N1H	5	6511	evidence4	English	24	Male	8	1	Yes		2.4333	might	You are listening to music with your earphones. You know that your neighbor's dog often barks in the evening.	dog	0.651	inferential
3QIYRE09Y3GKI8BYN9E6IRBFB15N1H	5	8776	evidence3	English	24	Male	9	1	Yes		2.4333	must	You are listening to music with your earphones. You look out the window and see that the mailman has just arrived at your neighbor's doorstep, when all of a sudden he jumps back.	dog	0.668333333333333	inferential
3QIYRE09Y3GKI8BYN9E6IRBFB15N1H	5	4213	evidence1	English	24	Male	10	1	Yes		2.4333	must	You look outside and see Fluffy, the neighbor's dog, standing on the porch and barking.	dog	0.916	perceptual
3QIYRE09Y3GKI8BYN9E6IRBFB15N1H	5	4699	evidence3	English	24	Male	11	1	Yes		2.4333	bare	You know that the coffee has been on the table for an hour.	coffee	0.95	inferential
3QIYRE09Y3GKI8BYN9E6IRBFB15N1H	5	4932	evidence5	English	24	Male	12	1	Yes		2.4333	might	You're hungry.	dinner	0.563333333333333	wishful
3FPRZHYEPY6T0GYMC4EGG1KPVOLV3Y	6	13908	evidence1	English	37	Female	1	2	Yes		1.70276666666667	bare	You just prepared dinner and set it out on the table.	dinner	0.93	perceptual
3FPRZHYEPY6T0GYMC4EGG1KPVOLV3Y	6	7923	evidence1	English	37	Female	2	2	Yes		1.70276666666667	bare	You look out the window and see raindrops falling from the sky.	rain	0.935454545454545	perceptual
3FPRZHYEPY6T0GYMC4EGG1KPVOLV3Y	6	5469	evidence1	English	37	Female	3	2	Yes		1.70276666666667	bare	You take a sip of the coffee and feel that it is cold.	coffee	0.916	perceptual
3FPRZHYEPY6T0GYMC4EGG1KPVOLV3Y	6	7208	evidence1	English	37	Female	4	2	Yes		1.70276666666667	bare	You look outside and see Fluffy, the neighbor's dog, standing on the porch and barking.	dog	0.916	perceptual
3FPRZHYEPY6T0GYMC4EGG1KPVOLV3Y	6	10025	evidence5	English	37	Female	5	2	Yes		1.70276666666667	probably	You're hungry.	dinner	0.563333333333333	wishful
3FPRZHYEPY6T0GYMC4EGG1KPVOLV3Y	6	5734	evidence2	English	37	Female	6	2	Yes		1.70276666666667	bare	You touch the coffee cup and feel that it is cold.	coffee	0.743333333333333	perceptual
3FPRZHYEPY6T0GYMC4EGG1KPVOLV3Y	6	8767	evidence4	English	37	Female	7	2	Yes		1.70276666666667	probably	You see that there isn't any steam coming from the coffee.	coffee	0.681818181818182	inferential
3FPRZHYEPY6T0GYMC4EGG1KPVOLV3Y	6	4201	evidence4	English	37	Female	8	2	Yes		1.70276666666667	might	You check the weather report on the Internet, which says it is raining.	rain	0.742142857142857	reportative
3FPRZHYEPY6T0GYMC4EGG1KPVOLV3Y	6	5512	evidence5	English	37	Female	9	2	Yes		1.70276666666667	might	Your neighbor just got a new dog.	dog	0.487142857142857	inferential
3FPRZHYEPY6T0GYMC4EGG1KPVOLV3Y	6	4671	evidence3	English	37	Female	10	2	Yes		1.70276666666667	must	Dinner is usually ready at around 6pm. You look at the clock and it is 6pm.	dinner	0.85	inferential
3FPRZHYEPY6T0GYMC4EGG1KPVOLV3Y	6	5653	evidence5	English	37	Female	11	2	Yes		1.70276666666667	might	Earlier today, you had seen dark clouds in the sky.	rain	0.573333333333333	inferential
3FPRZHYEPY6T0GYMC4EGG1KPVOLV3Y	6	5257	evidence4	English	37	Female	12	2	Yes		1.70276666666667	might	You are listening to music with your earphones. You know that your neighbor's dog often barks in the evening.	dog	0.651	inferential
3F6KKYWMNB0EA3RA32Y1JTCO0Y8ND7	7	9496	evidence1	English	18	Male	1	2	Yes		2.97255	bare	You look out the window and see raindrops falling from the sky.	rain	0.935454545454545	perceptual
3F6KKYWMNB0EA3RA32Y1JTCO0Y8ND7	7	49923	evidence3	English	18	Male	2	2	Yes		2.97255	might	You see a person come in from outside with wet hair and wet clothes.	rain	0.89	inferential
3F6KKYWMNB0EA3RA32Y1JTCO0Y8ND7	7	5618	evidence4	English	18	Male	3	2	Yes		2.97255	might	You see that there isn't any steam coming from the coffee.	coffee	0.681818181818182	inferential
3F6KKYWMNB0EA3RA32Y1JTCO0Y8ND7	7	6439	evidence4	English	18	Male	4	2	Yes		2.97255	might	You smell food coming from the dining room.	dinner	0.655384615384615	inferential
3F6KKYWMNB0EA3RA32Y1JTCO0Y8ND7	7	22080	evidence2	English	18	Male	5	2	Yes		2.97255	bare	You hear the sound of a dog barking.	dog	0.734285714285714	inferential
3F6KKYWMNB0EA3RA32Y1JTCO0Y8ND7	7	9679	evidence5	English	18	Male	6	2	Yes		2.97255	might	You're hungry.	dinner	0.563333333333333	wishful
3F6KKYWMNB0EA3RA32Y1JTCO0Y8ND7	7	26365	evidence4	English	18	Male	7	2	Yes		2.97255	probably	You check the weather report on the Internet, which says it is raining.	rain	0.742142857142857	reportative
3F6KKYWMNB0EA3RA32Y1JTCO0Y8ND7	7	5758	evidence5	English	18	Male	8	2	Yes		2.97255	probably	You see that the cup isn't insulated.	coffee	0.5825	inferential
3F6KKYWMNB0EA3RA32Y1JTCO0Y8ND7	7	3001	evidence1	English	18	Male	9	2	Yes		2.97255	might	You take a sip of the coffee and feel that it is cold.	coffee	0.916	perceptual
3F6KKYWMNB0EA3RA32Y1JTCO0Y8ND7	7	2291	evidence1	English	18	Male	10	2	Yes		2.97255	might	You just prepared dinner and set it out on the table.	dinner	0.93	perceptual
3F6KKYWMNB0EA3RA32Y1JTCO0Y8ND7	7	2319	evidence1	English	18	Male	11	2	Yes		2.97255	bare	You look outside and see Fluffy, the neighbor's dog, standing on the porch and barking.	dog	0.916	perceptual
3F6KKYWMNB0EA3RA32Y1JTCO0Y8ND7	7	8705	evidence5	English	18	Male	12	2	Yes		2.97255	might	Your neighbor just got a new dog.	dog	0.487142857142857	inferential
3QUO65DNQUNI9Q28QCO38IGHC88UO3	8	23162	evidence4	English	31	Male	1	2	Yes	Nope	3.18966666666667	probably	You are listening to music with your earphones. You know that your neighbor's dog often barks in the evening.	dog	0.651	inferential
3QUO65DNQUNI9Q28QCO38IGHC88UO3	8	10879	evidence1	English	31	Male	2	2	Yes	Nope	3.18966666666667	bare	You look out the window and see raindrops falling from the sky.	rain	0.935454545454545	perceptual
3QUO65DNQUNI9Q28QCO38IGHC88UO3	8	6703	evidence4	English	31	Male	3	2	Yes	Nope	3.18966666666667	must	You check the weather report on the Internet, which says it is raining.	rain	0.742142857142857	reportative
3QUO65DNQUNI9Q28QCO38IGHC88UO3	8	9124	evidence1	English	31	Male	4	2	Yes	Nope	3.18966666666667	bare	You just prepared dinner and set it out on the table.	dinner	0.93	perceptual
3QUO65DNQUNI9Q28QCO38IGHC88UO3	8	8371	evidence1	English	31	Male	5	2	Yes	Nope	3.18966666666667	bare	You take a sip of the coffee and feel that it is cold.	coffee	0.916	perceptual
3QUO65DNQUNI9Q28QCO38IGHC88UO3	8	8987	evidence3	English	31	Male	6	2	Yes	Nope	3.18966666666667	must	You see a person come in from outside with wet hair and wet clothes.	rain	0.89	inferential
3QUO65DNQUNI9Q28QCO38IGHC88UO3	8	29129	evidence2	English	31	Male	7	2	Yes	Nope	3.18966666666667	must	Your spouse tells you that dinner is ready.	dinner	0.93375	reportative
3QUO65DNQUNI9Q28QCO38IGHC88UO3	8	8233	evidence3	English	31	Male	8	2	Yes	Nope	3.18966666666667	probably	You know that the coffee has been on the table for an hour.	coffee	0.95	inferential
3QUO65DNQUNI9Q28QCO38IGHC88UO3	8	6391	evidence4	English	31	Male	9	2	Yes	Nope	3.18966666666667	must	You smell food coming from the dining room.	dinner	0.655384615384615	inferential
3QUO65DNQUNI9Q28QCO38IGHC88UO3	8	10554	evidence2	English	31	Male	10	2	Yes	Nope	3.18966666666667	probably	You hear the sound of a dog barking.	dog	0.734285714285714	inferential
3QUO65DNQUNI9Q28QCO38IGHC88UO3	8	14190	evidence3	English	31	Male	11	2	Yes	Nope	3.18966666666667	must	You are listening to music with your earphones. You look out the window and see that the mailman has just arrived at your neighbor's doorstep, when all of a sudden he jumps back.	dog	0.668333333333333	inferential
3QUO65DNQUNI9Q28QCO38IGHC88UO3	8	11359	evidence2	English	31	Male	12	2	Yes	Nope	3.18966666666667	might	You touch the coffee cup and feel that it is cold.	coffee	0.743333333333333	perceptual
39GHHAVOMFQ5RHHWVT5GNI11E1BJ4N	9	20561	evidence5	English	24	Male	1	2	Yes		2.24086666666667	might	You're hungry.	dinner	0.563333333333333	wishful
39GHHAVOMFQ5RHHWVT5GNI11E1BJ4N	9	9633	evidence5	English	24	Male	2	2	Yes		2.24086666666667	might	Earlier today, you had seen dark clouds in the sky.	rain	0.573333333333333	inferential
39GHHAVOMFQ5RHHWVT5GNI11E1BJ4N	9	9695	evidence4	English	24	Male	3	2	Yes		2.24086666666667	probably	You smell food coming from the dining room.	dinner	0.655384615384615	inferential
39GHHAVOMFQ5RHHWVT5GNI11E1BJ4N	9	10849	evidence3	English	24	Male	4	2	Yes		2.24086666666667	probably	You are listening to music with your earphones. You look out the window and see that the mailman has just arrived at your neighbor's doorstep, when all of a sudden he jumps back.	dog	0.668333333333333	inferential
39GHHAVOMFQ5RHHWVT5GNI11E1BJ4N	9	6563	evidence3	English	24	Male	5	2	Yes		2.24086666666667	probably	Dinner is usually ready at around 6pm. You look at the clock and it is 6pm.	dinner	0.85	inferential
39GHHAVOMFQ5RHHWVT5GNI11E1BJ4N	9	9177	evidence4	English	24	Male	6	2	Yes		2.24086666666667	bare	You see that there isn't any steam coming from the coffee.	coffee	0.681818181818182	inferential
39GHHAVOMFQ5RHHWVT5GNI11E1BJ4N	9	5329	evidence1	English	24	Male	7	2	Yes		2.24086666666667	bare	You look out the window and see raindrops falling from the sky.	rain	0.935454545454545	perceptual
39GHHAVOMFQ5RHHWVT5GNI11E1BJ4N	9	7950	evidence4	English	24	Male	8	2	Yes		2.24086666666667	might	You are listening to music with your earphones. You know that your neighbor's dog often barks in the evening.	dog	0.651	inferential
39GHHAVOMFQ5RHHWVT5GNI11E1BJ4N	9	8715	evidence4	English	24	Male	9	2	Yes		2.24086666666667	probably	You check the weather report on the Internet, which says it is raining.	rain	0.742142857142857	reportative
39GHHAVOMFQ5RHHWVT5GNI11E1BJ4N	9	4062	evidence2	English	24	Male	10	2	Yes		2.24086666666667	bare	You touch the coffee cup and feel that it is cold.	coffee	0.743333333333333	perceptual
39GHHAVOMFQ5RHHWVT5GNI11E1BJ4N	9	4233	evidence2	English	24	Male	11	2	Yes		2.24086666666667	bare	You hear the sound of a dog barking.	dog	0.734285714285714	inferential
39GHHAVOMFQ5RHHWVT5GNI11E1BJ4N	9	5236	evidence5	English	24	Male	12	2	Yes		2.24086666666667	might	You see that the cup isn't insulated.	coffee	0.5825	inferential
32ZKVD547FMER20G7NNGFPQISW63B1	10	6128	evidence2	English	28	Male	1	2	Yes		1.44026666666667	bare	Your spouse tells you that dinner is ready.	dinner	0.93375	reportative
32ZKVD547FMER20G7NNGFPQISW63B1	10	4561	evidence4	English	28	Male	2	2	Yes		1.44026666666667	might	You see that there isn't any steam coming from the coffee.	coffee	0.681818181818182	inferential
32ZKVD547FMER20G7NNGFPQISW63B1	10	4878	evidence3	English	28	Male	3	2	Yes		1.44026666666667	might	You see a person come in from outside with wet hair and wet clothes.	rain	0.89	inferential
32ZKVD547FMER20G7NNGFPQISW63B1	10	6154	evidence5	English	28	Male	4	2	Yes		1.44026666666667	might	You're hungry.	dinner	0.563333333333333	wishful
32ZKVD547FMER20G7NNGFPQISW63B1	10	3809	evidence4	English	28	Male	5	2	Yes		1.44026666666667	probably	You smell food coming from the dining room.	dinner	0.655384615384615	inferential
32ZKVD547FMER20G7NNGFPQISW63B1	10	4480	evidence1	English	28	Male	6	2	Yes		1.44026666666667	probably	You look out the window and see raindrops falling from the sky.	rain	0.935454545454545	perceptual
32ZKVD547FMER20G7NNGFPQISW63B1	10	8228	evidence4	English	28	Male	7	2	Yes		1.44026666666667	might	You are listening to music with your earphones. You know that your neighbor's dog often barks in the evening.	dog	0.651	inferential
32ZKVD547FMER20G7NNGFPQISW63B1	10	3727	evidence1	English	28	Male	8	2	Yes		1.44026666666667	must	You take a sip of the coffee and feel that it is cold.	coffee	0.916	perceptual
32ZKVD547FMER20G7NNGFPQISW63B1	10	5503	evidence5	English	28	Male	9	2	Yes		1.44026666666667	probably	You see that the cup isn't insulated.	coffee	0.5825	inferential
32ZKVD547FMER20G7NNGFPQISW63B1	10	7179	evidence3	English	28	Male	10	2	Yes		1.44026666666667	probably	You are listening to music with your earphones. You look out the window and see that the mailman has just arrived at your neighbor's doorstep, when all of a sudden he jumps back.	dog	0.668333333333333	inferential
32ZKVD547FMER20G7NNGFPQISW63B1	10	4765	evidence5	English	28	Male	11	2	Yes		1.44026666666667	might	Your neighbor just got a new dog.	dog	0.487142857142857	inferential
32ZKVD547FMER20G7NNGFPQISW63B1	10	4853	evidence2	English	28	Male	12	2	Yes		1.44026666666667	probably	You hear the sound of water dripping on the roof.	rain	0.9175	inferential
3ZSANO2JCF68O0XB24AD6NPFZAWSFZ	11	8791	evidence1	English	22	Female	1	1	Yes		2.2225	bare	You just prepared dinner and set it out on the table.	dinner	0.93	perceptual
3ZSANO2JCF68O0XB24AD6NPFZAWSFZ	11	8068	evidence1	English	22	Female	2	1	Yes		2.2225	bare	You look outside and see Fluffy, the neighbor's dog, standing on the porch and barking.	dog	0.916	perceptual
3ZSANO2JCF68O0XB24AD6NPFZAWSFZ	11	8411	evidence1	English	22	Female	3	1	Yes		2.2225	probably	You take a sip of the coffee and feel that it is cold.	coffee	0.916	perceptual
3ZSANO2JCF68O0XB24AD6NPFZAWSFZ	11	4733	evidence2	English	22	Female	4	1	Yes		2.2225	bare	Your spouse tells you that dinner is ready.	dinner	0.93375	reportative
3ZSANO2JCF68O0XB24AD6NPFZAWSFZ	11	9887	evidence4	English	22	Female	5	1	Yes		2.2225	might	You check the weather report on the Internet, which says it is raining.	rain	0.742142857142857	reportative
3ZSANO2JCF68O0XB24AD6NPFZAWSFZ	11	4583	evidence3	English	22	Female	6	1	Yes		2.2225	probably	You know that the coffee has been on the table for an hour.	coffee	0.95	inferential
3ZSANO2JCF68O0XB24AD6NPFZAWSFZ	11	9082	evidence4	English	22	Female	7	1	Yes		2.2225	might	You are listening to music with your earphones. You know that your neighbor's dog often barks in the evening.	dog	0.651	inferential
3ZSANO2JCF68O0XB24AD6NPFZAWSFZ	11	8979	evidence3	English	22	Female	8	1	Yes		2.2225	must	You see a person come in from outside with wet hair and wet clothes.	rain	0.89	inferential
