workerid	rt	sentence	language	age	gender	trial	enjoyment	asses	comments	Answer.time_in_minutes	response	evidence	item	item_type	sentence.1	Directness	EvidenceTypeCategorical	EvidenceDirectnessCategorical	Experiment
2	12784	Dinner must be ready.	English	26	M	1	2	Yes	none	1.83011666666667	0.23	evidence5	dinner	must	Dinner must be ready.	0.563333333333333	wishful	indirect	listener
2	13182	It&quotechars probably raining.	English 	18	F	4	2	Yes	Thank you! Interesting study. 	1.41296666666667	0.81	evidence3	rain	probably	It&quotechars probably raining.	0.89	inferential	indirect	speaker
3	18278	It's probably raining.	English	41	F	2	2	Yes	I found this HIT interesting to complete. Good luck with your study!	2.14695	0.43	evidence4	rain	probably	It's probably raining.	0.742142857142857	reportative	indirect	listener
3	19814	Dinner is ready.	English	41	F	4	2	Yes	I found this HIT interesting to complete. Good luck with your study!	2.14695	0.99	evidence1	dinner	bare	Dinner is ready.	0.93	perceptual	direct	listener
3	21043	It&quotechars raining.	english	21	F	4	1	Yes		2.09513333333333	0.97	evidence1	rain	bare	It&quotechars raining.	0.935454545454545	perceptual	direct	speaker
3	21767	The coffee might be cold.	english	21	F	3	1	Yes		2.09513333333333	0.3	evidence4	coffee	might	The coffee might be cold.	0.681818181818182	inferential	indirect	speaker
3	21877	The neighbor's dog might be barking.	English	41	F	3	2	Yes	I found this HIT interesting to complete. Good luck with your study!	2.14695	0.18	evidence5	dog	might	The neighbor's dog might be barking.	0.487142857142857	inferential	indirect	listener
3	22565	Dinner must be ready.	english	21	M	2	1	Yes		2.09513333333333	0.47	evidence4	dinner	must	Dinner must be ready.	0.655384615384615	inferential	indirect	speaker
3	26220	The neighbor&quotechars dog is probably barking.	english	21	M	1	1	Yes		2.09513333333333	0.82	evidence2	dog	probably	The neighbor&quotechars dog is probably barking.	0.734285714285714	inferential	indirect	speaker
3	27915	The coffee must be cold.	English	41	F	1	2	Yes	I found this HIT interesting to complete. Good luck with your study!	2.14695	0.45	evidence3	coffee	must	The coffee must be cold.	0.95	inferential	indirect	listener
4	7966	Dinner is probably ready.	english	46	F	3	2	Yes		2.27988333333333	0.72	evidence4	dinner	probably	Dinner is probably ready.	0.655384615384615	inferential	indirect	listener
4	10208	The coffee must be cold.	english	46	M	4	2	Yes		2.27988333333333	0.89	evidence1	coffee	must	The coffee must be cold.	0.916	perceptual	direct	listener
4	10586	It might be raining.	english	46	M	2	2	Yes		2.27988333333333	0.52	evidence2	rain	might	It might be raining.	0.9175	inferential	indirect	listener
4	11343	Dinner must be ready.	English	23	F	4	2	Yes		1.31813333333333	0.62	evidence3	dinner	must	Dinner must be ready.	0.85	inferential	indirect	speaker
4	14100	The neighbor's dog is barking.	english	46	F	1	2	Yes		2.27988333333333	0.93	evidence2	dog	bare	The neighbor's dog is barking.	0.734285714285714	inferential	indirect	listener
4	15911	It&quotechars probably raining.	English	23	M	2	2	Yes		1.31813333333333	0.59	evidence4	rain	probably	It&quotechars probably raining.	0.742142857142857	reportative	indirect	speaker
4	16983	The neighbor&quotechars dog might be barking.	English	23	M	3	2	Yes		1.31813333333333	0.54	evidence4	dog	might	The neighbor&quotechars dog might be barking.	0.651	inferential	indirect	speaker
4	17974	The coffee is cold.	English	23	F	1	2	Yes		1.31813333333333	0.95	evidence4	coffee	bare	The coffee is cold.	0.681818181818182	inferential	indirect	speaker
5	13243	Dinner is probably ready.	English	27	F	3	1	Yes		3.4503	0.69	evidence4	dinner	probably	Dinner is probably ready.	0.655384615384615	inferential	indirect	speaker
5	15309	The neighbor&quotechars dog is barking.	English	27	F	4	1	Yes		3.4503	1	evidence2	dog	bare	The neighbor&quotechars dog is barking.	0.734285714285714	inferential	indirect	speaker
5	16015	The coffee might be cold.	English	35	F	4	2	Yes		1.84451666666667	0.6	evidence3	coffee	might	The coffee might be cold.	0.95	inferential	indirect	listener
5	19487	It must be raining.	English	35	M	2	2	Yes		1.84451666666667	0.47	evidence4	rain	must	It must be raining.	0.742142857142857	reportative	indirect	listener
5	19837	Dinner is probably ready.	English	35	F	3	2	Yes		1.84451666666667	0.6	evidence3	dinner	probably	Dinner is probably ready.	0.85	inferential	indirect	listener
5	20262	It must be raining.	English	27	F	1	1	Yes		3.4503	0.98	evidence2	rain	must	It must be raining.	0.9175	inferential	indirect	speaker
5	25903	The neighbor's dog is barking.	English	35	M	1	2	Yes		1.84451666666667	0.9	evidence2	dog	bare	The neighbor's dog is barking.	0.734285714285714	inferential	indirect	listener
5	26924	The coffee might be cold.	English	27	F	2	1	Yes		3.4503	0.69	evidence2	coffee	might	The coffee might be cold.	0.743333333333333	perceptual	indirect	speaker
6	9193	Dinner must be ready.	English	25	F	4	1	Yes		1.03146666666667	0.86	evidence3	dinner	must	Dinner must be ready.	0.85	inferential	indirect	speaker
6	10572	It might be raining.	English	25	F	2	1	Yes		1.03146666666667	0.61	evidence1	rain	might	It might be raining.	0.935454545454545	perceptual	direct	speaker
6	12668	The neighbor&quotechars dog is barking.	English	25	F	1	1	Yes		1.03146666666667	1	evidence2	dog	bare	The neighbor&quotechars dog is barking.	0.734285714285714	inferential	indirect	speaker
6	15074	The coffee is probably cold.	English	25	M	3	1	Yes		1.03146666666667	0.63	evidence3	coffee	probably	The coffee is probably cold.	0.95	inferential	indirect	speaker
6	19064	The neighbor's dog is barking.	English	29	F	4	2	Yes	Interesting phrases!	3.65625	0.96	evidence2	dog	bare	The neighbor's dog is barking.	0.734285714285714	inferential	indirect	listener
6	23953	Dinner might be ready.	English	29	M	3	2	Yes	Interesting phrases!	3.65625	0.77	evidence5	dinner	might	Dinner might be ready.	0.563333333333333	wishful	indirect	listener
6	27868	It's probably raining.	English	29	M	2	2	Yes	Interesting phrases!	3.65625	0.75	evidence4	rain	probably	It's probably raining.	0.742142857142857	reportative	indirect	listener
6	50001	The coffee must be cold.	English	29	M	1	2	Yes	Interesting phrases!	3.65625	0.72	evidence4	coffee	must	The coffee must be cold.	0.681818181818182	inferential	indirect	listener
7	7568	The coffee must be cold.	English	30	M	4	2	Yes		1.0209	0.9	evidence3	coffee	must	The coffee must be cold.	0.95	inferential	indirect	speaker
7	8511	Dinner is ready.	English	30	M	3	2	Yes		1.0209	0.96	evidence2	dinner	bare	Dinner is ready.	0.93375	reportative	indirect	speaker
7	11033	It's raining.	english	21	M	3	2	Yes		2.59543333333333	1	evidence1	rain	bare	It's raining.	0.935454545454545	perceptual	direct	listener
7	11549	The neighbor&quotechars dog is probably barking.	English	30	M	2	2	Yes		1.0209	0.27	evidence5	dog	probably	The neighbor&quotechars dog is probably barking.	0.487142857142857	inferential	indirect	speaker
7	13992	It might be raining.	English	30	M	1	2	Yes		1.0209	0.49	evidence3	rain	might	It might be raining.	0.89	inferential	indirect	speaker
7	21453	The neighbor's dog is probably barking.	english	21	M	1	2	Yes		2.59543333333333	0.81	evidence4	dog	probably	The neighbor's dog is probably barking.	0.651	inferential	indirect	listener
7	28773	The coffee must be cold.	english	21	M	4	2	Yes		2.59543333333333	0.81	evidence4	coffee	must	The coffee must be cold.	0.681818181818182	inferential	indirect	listener
7	38692	Dinner might be ready.	english	21	F	2	2	Yes		2.59543333333333	0.7	evidence3	dinner	might	Dinner might be ready.	0.85	inferential	indirect	listener
8	7701	The neighbor&quotechars dog is barking.	English	28	F	4	2	Yes		1.02523333333333	1	evidence2	dog	bare	The neighbor&quotechars dog is barking.	0.734285714285714	inferential	indirect	speaker
8	8373	Dinner is probably ready.	English	28	M	2	2	Yes		1.02523333333333	0.75	evidence3	dinner	probably	Dinner is probably ready.	0.85	inferential	indirect	speaker
8	10864	The coffee is probably cold.	English	26	F	4	2	Yes	Thank you!	2.10408333333333	0.71	evidence3	coffee	probably	The coffee is probably cold.	0.95	inferential	indirect	listener
8	14163	Dinner must be ready.	English	26	F	2	2	Yes	Thank you!	2.10408333333333	0.53	evidence3	dinner	must	Dinner must be ready.	0.85	inferential	indirect	listener
8	14975	It must be raining.	English	28	M	1	2	Yes		1.02523333333333	0.9	evidence4	rain	must	It must be raining.	0.742142857142857	reportative	indirect	speaker
8	15062	The coffee might be cold.	English	28	M	3	2	Yes		1.02523333333333	0.71	evidence2	coffee	might	The coffee might be cold.	0.743333333333333	perceptual	indirect	speaker
8	21859	The neighbor's dog might be barking.	English	26	F	3	2	Yes	Thank you!	2.10408333333333	0.47	evidence5	dog	might	The neighbor's dog might be barking.	0.487142857142857	inferential	indirect	listener
8	34897	It's raining.	English	26	M	1	2	Yes	Thank you!	2.10408333333333	0.93	evidence2	rain	bare	It's raining.	0.9175	inferential	indirect	listener
9	3814	The neighbor's dog is probably barking.	ENGLISH	24	M	2	2	Yes	THANK YOU! :)	2.10505	0.69	evidence2	dog	probably	The neighbor's dog is probably barking.	0.734285714285714	inferential	indirect	listener
9	4980	The coffee must be cold.	ENGLISH	24	F	3	2	Yes	THANK YOU! :)	2.10505	0.74	evidence4	coffee	must	The coffee must be cold.	0.681818181818182	inferential	indirect	listener
9	5038	Dinner is ready.	ENGLISH	24	M	1	2	Yes	THANK YOU! :)	2.10505	0.75	evidence4	dinner	bare	Dinner is ready.	0.655384615384615	inferential	indirect	listener
9	8808	It might be raining.	ENGLISH	24	M	4	2	Yes	THANK YOU! :)	2.10505	0.82	evidence5	rain	might	It might be raining.	0.573333333333333	inferential	indirect	listener
9	8844	The neighbor&quotechars dog is barking.	English	27	F	2	2	Yes		1.61576666666667	0.85	evidence2	dog	bare	The neighbor&quotechars dog is barking.	0.734285714285714	inferential	indirect	speaker
9	11204	Dinner might be ready.	English	27	F	3	2	Yes		1.61576666666667	0.42	evidence3	dinner	might	Dinner might be ready.	0.85	inferential	indirect	speaker
9	17812	The coffee is probably cold.	English	27	M	4	2	Yes		1.61576666666667	0.42	evidence3	coffee	probably	The coffee is probably cold.	0.95	inferential	indirect	speaker
9	25718	It must be raining.	English	27	F	1	2	Yes		1.61576666666667	1	evidence2	rain	must	It must be raining.	0.9175	inferential	indirect	speaker
10	9068	Dinner is ready.	English	28	M	3	2	Yes	thanks	1.11861666666667	1	evidence1	dinner	bare	Dinner is ready.	0.93	perceptual	direct	listener
10	10829	It must be raining.	English	28	M	2	2	Yes	thanks	1.11861666666667	0.87	evidence2	rain	must	It must be raining.	0.9175	inferential	indirect	listener
10	10836	The coffee is probably cold.	English	28	M	4	2	Yes	thanks	1.11861666666667	0.82	evidence3	coffee	probably	The coffee is probably cold.	0.95	inferential	indirect	listener
10	11715	It might be raining.	english	21	F	4	1	Yes		1.4295	0.29	evidence2	rain	might	It might be raining.	0.9175	inferential	indirect	speaker
10	12177	The neighbor&quotechars dog is barking.	english	21	F	2	1	Yes		1.4295	0.94	evidence2	dog	bare	The neighbor&quotechars dog is barking.	0.734285714285714	inferential	indirect	speaker
10	14523	Dinner must be ready.	english	21	M	3	1	Yes		1.4295	0.51	evidence4	dinner	must	Dinner must be ready.	0.655384615384615	inferential	indirect	speaker
10	17400	The coffee is probably cold.	english	21	F	1	1	Yes		1.4295	0.92	evidence1	coffee	probably	The coffee is probably cold.	0.916	perceptual	direct	speaker
10	18486	The neighbor's dog might be barking.	English	28	F	1	2	Yes	thanks	1.11861666666667	0.68	evidence2	dog	might	The neighbor's dog might be barking.	0.734285714285714	inferential	indirect	listener
11	18469	Dinner might be ready.	english	52	M	4	2	Yes	would love to know how i did	3.64733333333333	0.51	evidence4	dinner	might	Dinner might be ready.	0.655384615384615	inferential	indirect	listener
11	21179	Dinner is probably ready.	English	33	F	3	1	Yes	The reason why should be clarified to represent a possible interpretation for the statement, rather than the implication that it represents a single unique reason they would make their claim.	3.69228333333333	0.48	evidence3	dinner	probably	Dinner is probably ready.	0.85	inferential	indirect	speaker
11	24256	The coffee might be cold.	English	33	M	4	1	Yes	The reason why should be clarified to represent a possible interpretation for the statement, rather than the implication that it represents a single unique reason they would make their claim.	3.69228333333333	0.37	evidence3	coffee	might	The coffee might be cold.	0.95	inferential	indirect	speaker
11	43864	The neighbor's dog is probably barking.	english	52	M	2	2	Yes	would love to know how i did	3.64733333333333	0.47	evidence2	dog	probably	The neighbor's dog is probably barking.	0.734285714285714	inferential	indirect	listener
11	47965	The neighbor&quotechars dog must be barking.	English	33	F	2	1	Yes	The reason why should be clarified to represent a possible interpretation for the statement, rather than the implication that it represents a single unique reason they would make their claim.	3.69228333333333	0.69	evidence3	dog	must	The neighbor&quotechars dog must be barking.	0.668333333333333	inferential	indirect	speaker
11	51297	It must be raining.	english	52	M	1	2	Yes	would love to know how i did	3.64733333333333	0.24	evidence2	rain	must	It must be raining.	0.9175	inferential	indirect	listener
11	54503	The coffee is cold.	english	52	F	3	2	Yes	would love to know how i did	3.64733333333333	0.5	evidence2	coffee	bare	The coffee is cold.	0.743333333333333	perceptual	indirect	listener
11	55436	It&quotechars raining.	English	33	M	1	1	Yes	The reason why should be clarified to represent a possible interpretation for the statement, rather than the implication that it represents a single unique reason they would make their claim.	3.69228333333333	0.84	evidence1	rain	bare	It&quotechars raining.	0.935454545454545	perceptual	direct	speaker
12	16657	It might be raining.	English	57	F	2	1	Yes		3.29875	0.47	evidence2	rain	might	It might be raining.	0.9175	inferential	indirect	speaker
12	23942	The neighbor's dog might be barking.	English	30	F	4	2	Yes	I looked at hedging language in this HIT.  For example "probably" indicates a higher degree of probability than "might be," and I tried to evaluate what circumstances would be appropriate for a particular hedging word.  	5.28798333333333	0.23	evidence4	dog	might	The neighbor's dog might be barking.	0.651	inferential	indirect	listener
12	24983	It's probably raining.	English	30	F	3	2	Yes	I looked at hedging language in this HIT.  For example "probably" indicates a higher degree of probability than "might be," and I tried to evaluate what circumstances would be appropriate for a particular hedging word.  	5.28798333333333	0.33	evidence4	rain	probably	It's probably raining.	0.742142857142857	reportative	indirect	listener
12	27762	The coffee is cold.	English	30	M	2	2	Yes	I looked at hedging language in this HIT.  For example "probably" indicates a higher degree of probability than "might be," and I tried to evaluate what circumstances would be appropriate for a particular hedging word.  	5.28798333333333	0.76	evidence4	coffee	bare	The coffee is cold.	0.681818181818182	inferential	indirect	listener
12	27828	The coffee is cold.	English	57	M	1	1	Yes		3.29875	0.95	evidence1	coffee	bare	The coffee is cold.	0.916	perceptual	direct	speaker
12	32063	The neighbor&quotechars dog must be barking.	English	57	F	4	1	Yes		3.29875	0.76	evidence2	dog	must	The neighbor&quotechars dog must be barking.	0.734285714285714	inferential	indirect	speaker
12	77342	Dinner is probably ready.	English	57	F	3	1	Yes		3.29875	0.47	evidence4	dinner	probably	Dinner is probably ready.	0.655384615384615	inferential	indirect	speaker
12	123109	Dinner must be ready.	English	30	F	1	2	Yes	I looked at hedging language in this HIT.  For example "probably" indicates a higher degree of probability than "might be," and I tried to evaluate what circumstances would be appropriate for a particular hedging word.  	5.28798333333333	0.77	evidence4	dinner	must	Dinner must be ready.	0.655384615384615	inferential	indirect	listener
13	17878	The coffee is probably cold.	English	30	M	3	2	Yes		2.1497	0.47	evidence3	coffee	probably	The coffee is probably cold.	0.95	inferential	indirect	listener
13	18133	The neighbor's dog is barking.	English	30	M	2	2	Yes		2.1497	0.93	evidence2	dog	bare	The neighbor's dog is barking.	0.734285714285714	inferential	indirect	listener
13	23023	Dinner might be ready.	English	22	F	4	2	Yes	I thought it was a neat study on how people interpret sentences.	3.61475	0.33	evidence3	dinner	might	Dinner might be ready.	0.85	inferential	indirect	speaker
13	25746	It must be raining.	English	30	M	4	2	Yes		2.1497	0.64	evidence2	rain	must	It must be raining.	0.9175	inferential	indirect	listener
13	25871	The coffee is cold.	English	22	M	2	2	Yes	I thought it was a neat study on how people interpret sentences.	3.61475	1	evidence1	coffee	bare	The coffee is cold.	0.916	perceptual	direct	speaker
13	35831	Dinner might be ready.	English	30	F	1	2	Yes		2.1497	0.72	evidence4	dinner	might	Dinner might be ready.	0.655384615384615	inferential	indirect	listener
13	36995	It must be raining.	English	22	M	1	2	Yes	I thought it was a neat study on how people interpret sentences.	3.61475	0.82	evidence2	rain	must	It must be raining.	0.9175	inferential	indirect	speaker
13	49830	The neighbor&quotechars dog is probably barking.	English	22	M	3	2	Yes	I thought it was a neat study on how people interpret sentences.	3.61475	0.48	evidence4	dog	probably	The neighbor&quotechars dog is probably barking.	0.651	inferential	indirect	speaker
14	8550	The coffee is cold.	English	26	M	4	2	Yes	Interesting study!	1.81595	0.99	evidence1	coffee	bare	The coffee is cold.	0.916	perceptual	direct	speaker
14	12762	Dinner is ready.	ENglish	38	M	2	1	Yes		1.9464	0.61	evidence1	dinner	bare	Dinner is ready.	0.93	perceptual	direct	listener
14	12808	The coffee is probably cold.	ENglish	38	M	3	1	Yes		1.9464	0.48	evidence4	coffee	probably	The coffee is probably cold.	0.681818181818182	inferential	indirect	listener
14	13393	The neighbor&quotechars dog must be barking.	English	26	F	3	2	Yes	Interesting study!	1.81595	0.83	evidence2	dog	must	The neighbor&quotechars dog must be barking.	0.734285714285714	inferential	indirect	speaker
14	14232	The neighbor's dog must be barking.	ENglish	38	M	4	1	Yes		1.9464	0.56	evidence3	dog	must	The neighbor's dog must be barking.	0.668333333333333	inferential	indirect	listener
14	16214	It&quotechars probably raining.	English	26	M	2	2	Yes	Interesting study!	1.81595	0.78	evidence2	rain	probably	It&quotechars probably raining.	0.9175	inferential	indirect	speaker
14	21208	Dinner might be ready.	English	26	F	1	2	Yes	Interesting study!	1.81595	0.62	evidence4	dinner	might	Dinner might be ready.	0.655384615384615	inferential	indirect	speaker
14	23587	It might be raining.	ENglish	38	F	1	1	Yes		1.9464	0.49	evidence2	rain	might	It might be raining.	0.9175	inferential	indirect	listener
15	7684	The coffee is cold.	English	23	M	2	2	Yes		1.13035	1	evidence1	coffee	bare	The coffee is cold.	0.916	perceptual	direct	listener
15	9946	It must be raining.	English	23	F	4	2	Yes		1.13035	0.6	evidence2	rain	must	It must be raining.	0.9175	inferential	indirect	listener
15	11063	Dinner is probably ready.	English	23	M	3	2	Yes		1.13035	0.62	evidence3	dinner	probably	Dinner is probably ready.	0.85	inferential	indirect	listener
15	15287	The coffee is probably cold.	english	28	F	3	2	Yes		2.05425	0.7	evidence3	coffee	probably	The coffee is probably cold.	0.95	inferential	indirect	speaker
15	17098	The neighbor's dog might be barking.	English	23	M	1	2	Yes		1.13035	0.47	evidence1	dog	might	The neighbor's dog might be barking.	0.916	perceptual	direct	listener
15	20727	Dinner might be ready.	english	28	F	2	2	Yes		2.05425	0.54	evidence4	dinner	might	Dinner might be ready.	0.655384615384615	inferential	indirect	speaker
15	24904	It&quotechars raining.	english	28	M	1	2	Yes		2.05425	1	evidence2	rain	bare	It&quotechars raining.	0.9175	inferential	indirect	speaker
15	25608	The neighbor&quotechars dog must be barking.	english	28	M	4	2	Yes		2.05425	0.83	evidence3	dog	must	The neighbor&quotechars dog must be barking.	0.668333333333333	inferential	indirect	speaker
16	14619	Dinner is probably ready.	english	23	F	4	2	Yes		1.4661	0.6	evidence4	dinner	probably	Dinner is probably ready.	0.655384615384615	inferential	indirect	speaker
16	14959	It&quotechars raining.	english	23	F	3	2	Yes		1.4661	0.97	evidence1	rain	bare	It&quotechars raining.	0.935454545454545	perceptual	direct	speaker
16	15692	The neighbor&quotechars dog might be barking.	english	23	F	2	2	Yes		1.4661	0.46	evidence3	dog	might	The neighbor&quotechars dog might be barking.	0.668333333333333	inferential	indirect	speaker
16	24614	The coffee must be cold.	english	23	M	1	2	Yes		1.4661	0.61	evidence3	coffee	must	The coffee must be cold.	0.95	inferential	indirect	speaker
16	35395	The coffee might be cold.	English	57	M	2	2	Yes		7.04701666666667	0.65	evidence3	coffee	might	The coffee might be cold.	0.95	inferential	indirect	listener
16	36585	Dinner is ready.	English	57	M	4	2	Yes		7.04701666666667	0.91	evidence2	dinner	bare	Dinner is ready.	0.93375	reportative	indirect	listener
16	60417	It must be raining.	English	57	F	1	2	Yes		7.04701666666667	0.71	evidence2	rain	must	It must be raining.	0.9175	inferential	indirect	listener
16	75316	The neighbor's dog is probably barking.	English	57	F	3	2	Yes		7.04701666666667	0.51	evidence5	dog	probably	The neighbor's dog is probably barking.	0.487142857142857	inferential	indirect	listener
17	18327	The neighbor's dog is barking.	English	39	F	4	2	Yes		2.63426666666667	0.88	evidence2	dog	bare	The neighbor's dog is barking.	0.734285714285714	inferential	indirect	listener
17	22270	The coffee must be cold.	English	43	F	3	2	Yes	Thanks!	3.52268333333333	0.9	evidence3	coffee	must	The coffee must be cold.	0.95	inferential	indirect	speaker
17	23814	The coffee is probably cold.	English	39	F	2	2	Yes		2.63426666666667	0.67	evidence3	coffee	probably	The coffee is probably cold.	0.95	inferential	indirect	listener
17	25564	Dinner is probably ready.	English	43	F	2	2	Yes	Thanks!	3.52268333333333	0.88	evidence3	dinner	probably	Dinner is probably ready.	0.85	inferential	indirect	speaker
17	32214	Dinner might be ready.	English	39	F	3	2	Yes		2.63426666666667	0.49	evidence3	dinner	might	Dinner might be ready.	0.85	inferential	indirect	listener
17	41953	It might be raining.	English	43	F	4	2	Yes	Thanks!	3.52268333333333	0.9	evidence4	rain	might	It might be raining.	0.742142857142857	reportative	indirect	speaker
17	44470	The neighbor&quotechars dog is barking.	English	43	M	1	2	Yes	Thanks!	3.52268333333333	0.99	evidence2	dog	bare	The neighbor&quotechars dog is barking.	0.734285714285714	inferential	indirect	speaker
17	45399	It must be raining.	English	39	M	1	2	Yes		2.63426666666667	0.56	evidence3	rain	must	It must be raining.	0.89	inferential	indirect	listener
18	14136	The neighbor&quotechars dog must be barking.	English	27	M	1	2	Yes		1.42591666666667	0.99	evidence2	dog	must	The neighbor&quotechars dog must be barking.	0.734285714285714	inferential	indirect	speaker
18	15351	Dinner is ready.	English	27	M	2	2	Yes		1.42591666666667	0.99	evidence1	dinner	bare	Dinner is ready.	0.93	perceptual	direct	speaker
18	15762	The coffee might be cold.	English	27	M	4	2	Yes		1.42591666666667	0.61	evidence3	coffee	might	The coffee might be cold.	0.95	inferential	indirect	speaker
18	19934	It&quotechars probably raining.	English	27	M	3	2	Yes		1.42591666666667	0.75	evidence5	rain	probably	It&quotechars probably raining.	0.573333333333333	inferential	indirect	speaker
18	28978	The coffee is probably cold.	English	59	M	4	2	Yes	Thank You	3.60251666666667	0.59	evidence3	coffee	probably	The coffee is probably cold.	0.95	inferential	indirect	listener
18	32050	It might be raining.	English	59	F	2	2	Yes	Thank You	3.60251666666667	0.48	evidence5	rain	might	It might be raining.	0.573333333333333	inferential	indirect	listener
18	43457	The neighbor's dog is barking.	English	59	M	3	2	Yes	Thank You	3.60251666666667	0.97	evidence2	dog	bare	The neighbor's dog is barking.	0.734285714285714	inferential	indirect	listener
18	49289	Dinner must be ready.	English	59	F	1	2	Yes	Thank You	3.60251666666667	0.47	evidence4	dinner	must	Dinner must be ready.	0.655384615384615	inferential	indirect	listener
19	6646	The coffee might be cold.	english	20	M	4	2	Yes		1.15793333333333	0.5	evidence5	coffee	might	The coffee might be cold.	0.5825	inferential	indirect	listener
19	7040	It's probably raining.	english	20	M	2	2	Yes		1.15793333333333	0.54	evidence5	rain	probably	It's probably raining.	0.573333333333333	inferential	indirect	listener
19	8916	Dinner is ready.	english	20	M	3	2	Yes		1.15793333333333	0.73	evidence3	dinner	bare	Dinner is ready.	0.85	inferential	indirect	listener
19	10733	Dinner must be ready.	English	23	F	3	2	Yes		1.81403333333333	0.91	evidence4	dinner	must	Dinner must be ready.	0.655384615384615	inferential	indirect	speaker
19	12678	The neighbor's dog must be barking.	english	20	M	1	2	Yes		1.15793333333333	0.74	evidence2	dog	must	The neighbor's dog must be barking.	0.734285714285714	inferential	indirect	listener
19	19587	The neighbor&quotechars dog is barking.	English	23	F	2	2	Yes		1.81403333333333	0.99	evidence2	dog	bare	The neighbor&quotechars dog is barking.	0.734285714285714	inferential	indirect	speaker
19	20857	The coffee is probably cold.	English	23	F	1	2	Yes		1.81403333333333	0.81	evidence4	coffee	probably	The coffee is probably cold.	0.681818181818182	inferential	indirect	speaker
