Item_ID	Sentence	Modal	TensePerson	Node
102950:7	they must have a special source for * getting them because even at the farmer's market, uh, you can't find them like that	must	must	MD
103136:7	it must just, be on the line.	must	must	MD
104077:26	well they must, they must keep it separate if they have this date in.	must	must	MD
105801:7	it must be so nice for you, now that you're retired.	must	must	MD
106355:7	* must be difficult,	must	must	MD
107270:7	it must be *?* *-1.	must	must	MD
107745:36	so it is, yeah, and it *exp*-1 must be rough for you too * to see your grandmother.	must	must	MD
111252:43	and he's, he, he must be part, cross part with some kind of desert animal, because he's very long and lanky,	must	must	MD
112887:9	and i must say 0 i attracted a lot of attention.	must	must	MD
113302:25	they may not, they must not have too much traffic on saturdays.	must	must	MD
114316:7	this must be a, a hard category.	must	must	MD
117694:7	she must have known 0 he didn't like her or something.	must	must	MD
118572:7	that must have been at least fifty years ago or more,	must	must	MD
122843:7	there must be some better so-, better way of * doing this.	must	must	MD
122868:90	and if you are just content with * being, you know, with the way 0 things are *t*-1 then, you know, then you must lead, lead a pretty dull life.	must	must	MD
126261:7	people must be tired of it or something.	must	must	MD
129582:7	you must like chocolate.	must	must	MD
129907:8	they must be trying *-1 to keep track of, you know, who *t*-2 is doing it, or what, i guess 0 *t*-3.	must	must	MD
133775:24	this wasn't, must have not been a very good quality, because it just hasn't stood up very well.	must	must	MD
133865:27	but, uh, the dye lots, uh, must have been a little bit different from,	must	must	MD
134116:9	and i must admit 0 it's, you know,	must	must	MD
138724:10	that's must have been hard.	must	must	MD
141588:7	she must really like them.	must	must	MD
142160:7	you must have a, a son.	must	must	MD
143665:9	so it must be the way 0 we're managing the process *t*-1 that, uh,	must	must	MD
143680:7	you must see kids with real significant problems, uh, in some cases.	must	must	MD
146053:30	well, if you're from iowa, you must be very artsy crafty.	must	must	MD
150378:34	where the school district does, um, 0 the employee must pick up a greater figure in the way of, uh, costs *t*-1.	must	must	MD
151305:12	uh, it must have been six.	must	must	MD
151533:17	um, well, they must *?*,	must	must	MD
151899:7	they must really like it there.	must	must	MD
156945:173	one, one, one h-, one humorous retort 0 i heard, heard *t*-2 someone, you know, who *t*-1 claimed that, you know, aids was, you know, god's punishment was that, then lesbians must be god's chosen people.	must	must	MD
158704:9	and it must have reflected, uh, uh, some awful good, uh, diplomacy on the part of the u s.	must	must	MD
160123:7	they must have pretty good severance, though, huh?	must	must	MD
161281:7	they must have just targeted that breed and said, boy, we're going,	must	must	MD
162469:22	well, that sounds like you must feel really good about it.	must	must	MD
162828:143	well, in a criminal case, say one in which, you know, there is, like, say assault or some such *t*-1. i think 0 there ought *-2 to be a unanimous, uh, vote because by law and by constitution there must be proven beyond a shadow of a reasonable doubt that the person in question did this.	must	must	MD
164739:12	well, that must be pretty bad.	must	must	MD
165322:17	you sound like you must, uh, work in the computer business.	must	must	MD
170007:19	but again, um, it must be depressing for the people who, who *t*-1 are, who *t*-2 are just e-, e-, essentially not able *-3 to take care of themselves in their own house but, but, certainly, uh, certainly have ar-, ar-, are, have retained all of their, uh, mental skills and so on.	must	must	MD
170056:56	and it looked like, uh, i-, i-, it must have been,	must	must	MD
170058:9	and it must also give them a sense of, uh, uh, security and, and, uh, and, and, you know, s-, s-, uh,	must	must	MD
172409:7	it must have been tough.	must	must	MD
172415:7	it must have been just so much, so much work.	must	must	MD
172997:7	you must be a t i employee.	must	must	MD
172999:7	you must be what?	must	must	MD
173001:7	you must be a t i employee?	must	must	MD
173364:22	i, we must have maybe a hundred and fifty thousand people now.	must	must	MD
173726:35	i, i i must admit that,	must	must	MD
173737:22	i, i must admit that the production costs of, of these drugs are, are zippo compared to the street market costs and, and the costs to society,	must	must	MD
174375:66	i wonder, i wonder how, how the civil system or the court system must differ between there and * say *rnr*-3 where i am *t*-1 in minneapolis *t*-2.	must	must	MD
175544:121	and, and, but of course most time, most of the time management has a hard time * distributing or getting the word out to the people who *t*-1 must know.	must	must	MD
129967:14	oh, and they must be, yeah, really expensive.	must	must	MD
170008:16	it *ich*-2's, must be depressing * to, to walk, walk the halls and see, an-, and see all these other people who *t*-3 really don't know where they are *t*-1.	must	must	MD
176252:10	well you must have a, just one hero ace professional job * to support something like that.	must	must	MD
176487:20	i'm sure 0 there must be some good ones around here somewhere.	must	must	MD
177192:27	i think that, uh, we simply must start *-1 accepting everybody in the world.	must	must	MD
177345:7	you must have come to washington at least once.	must	must	MD
