workerid	rt	name	item	gender	sentence	item_type	response	slide_number_in_experiment	language	enjoyment	gender	age	comments	asses	education	OS	screenH	screenW	Browser	hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.catch_trials	Answer.condition	Answer.time_in_minutes	evidence	evidence_type	evidence_subtype	evidence_type_greg	evidence_subtype_greg
1	43670	Patrick	dog	M	The neighbor's dog might be barking.	might	0.62	7	Spanish	2	Male	43	n/a	Yes	4	Windows	1050	1680	Firefox	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	37XITHEISW8PK9DOWDK787ZGEV4CR1	1	Submitted	Thu Nov 27 08:28:07 PST 2014	Mon Nov 24 08:25:15 PST 2014	Mon Nov 24 08:28:07 PST 2014						[]	{}	2.82935	"'He said ""might be"" which implies there is a possibility.  Furthermore, perhaps he can hear the dog.'"	perceptual_uncertain		perceptual_uncertain	
1	27682	Janet	sun	F	I think it's sunny out.	think	0.52	8	Spanish	2	Male	43	n/a	Yes	4	Windows	1050	1680	Firefox	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	37XITHEISW8PK9DOWDK787ZGEV4CR1	1	Submitted	Thu Nov 27 08:28:07 PST 2014	Mon Nov 24 08:25:15 PST 2014	Mon Nov 24 08:28:07 PST 2014						[]	{}	2.82935	"'She does not make a ""certain"" statement so it could be true if the weather forecast calls for a sunny day.'"	reportative		inferential	
2	19733	Janet	dog	F	The neighbor's dog is probably barking.	probably	0.64	3	English	2	Male	33		Yes	2	Windows	864	1152	Chrome	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	3XXU1SWE8MUDR0WRIM51IG8552JA0Y	2	Submitted	Thu Nov 27 08:28:08 PST 2014	Mon Nov 24 08:25:51 PST 2014	Mon Nov 24 08:28:08 PST 2014						[]	{}	2.3014	'She can hear it'	perceptual	hearing	perceptual	
2	19236	Julie	coffee	F	The coffee must be cold.	must	0.74	4	English	2	Male	33		Yes	2	Windows	864	1152	Chrome	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	3XXU1SWE8MUDR0WRIM51IG8552JA0Y	2	Submitted	Thu Nov 27 08:28:08 PST 2014	Mon Nov 24 08:25:51 PST 2014	Mon Nov 24 08:28:08 PST 2014						[]	{}	2.3014	'She can taste it. '	perceptual	tasting	perceptual	
2	13894	Charles	dinner	M	Dinner is ready.	bare	0.85	5	English	2	Male	33		Yes	2	Windows	864	1152	Chrome	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	3XXU1SWE8MUDR0WRIM51IG8552JA0Y	2	Submitted	Thu Nov 27 08:28:08 PST 2014	Mon Nov 24 08:25:51 PST 2014	Mon Nov 24 08:28:08 PST 2014						[]	{}	2.3014	'He prepared the dinner. '	perceptual	experience	perceptual	
2	22675	Andrew	sun	M	It might be sunny out.	might	0.33	6	English	2	Male	33		Yes	2	Windows	864	1152	Chrome	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	3XXU1SWE8MUDR0WRIM51IG8552JA0Y	2	Submitted	Thu Nov 27 08:28:08 PST 2014	Mon Nov 24 08:25:51 PST 2014	Mon Nov 24 08:28:08 PST 2014						[]	{}	2.3014	'He saw or heard a weather forecast earlier. '	reportative		inferential	
2	18782	Jonathan	rain	M	I know it's raining.	know	0.84	7	English	2	Male	33		Yes	2	Windows	864	1152	Chrome	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	3XXU1SWE8MUDR0WRIM51IG8552JA0Y	2	Submitted	Thu Nov 27 08:28:08 PST 2014	Mon Nov 24 08:25:51 PST 2014	Mon Nov 24 08:28:08 PST 2014						[]	{}	2.3014	'He just came in from outside where it was raining. '	perceptual	experience	perceptual	
2	19700	Edward	train	M	I think the train is late.	think	0.46	8	English	2	Male	33		Yes	2	Windows	864	1152	Chrome	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	3XXU1SWE8MUDR0WRIM51IG8552JA0Y	2	Submitted	Thu Nov 27 08:28:08 PST 2014	Mon Nov 24 08:25:51 PST 2014	Mon Nov 24 08:28:08 PST 2014						[]	{}	2.3014	"'He is waiting for the train, and it has not arrived.'"	perceptual	experience	inferential	
3	37425	Michael	dog	M	The neighbor's dog must be barking.	must	0.7	3	english	2	Female	26		Yes	2	Windows	768	1366	Mozilla	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	3P59JYT76LJP26YE390WW9RCQPO2TV	3	Submitted	Thu Nov 27 08:28:11 PST 2014	Mon Nov 24 08:25:45 PST 2014	Mon Nov 24 08:28:11 PST 2014						[]	{}	2.353266667	'he saw it threw other windows or heard it \n'	perceptual	hearing_seeing	reportative	
3	17437	Brandon	train	M	The train is late.	bare	0.79	4	english	2	Female	26		Yes	2	Windows	768	1366	Mozilla	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	3P59JYT76LJP26YE390WW9RCQPO2TV	3	Submitted	Thu Nov 27 08:28:11 PST 2014	Mon Nov 24 08:25:45 PST 2014	Mon Nov 24 08:28:11 PST 2014						[]	{}	2.353266667	'he may have looked up time or e can see out a window'	inferential_uncertain		reportative	
3	16279	Matthew	coffee	M	The coffee might be cold.	might	0.69	5	english	2	Female	26		Yes	2	Windows	768	1366	Mozilla	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	3P59JYT76LJP26YE390WW9RCQPO2TV	3	Submitted	Thu Nov 27 08:28:11 PST 2014	Mon Nov 24 08:25:45 PST 2014	Mon Nov 24 08:28:11 PST 2014						[]	{}	2.353266667	'maybe matthew made the coffee earlier'	perceptual_uncertain	experience	perceptual_uncertain	
3	15784	Emily	rain	F	I know it's raining.	know	0.66	6	english	2	Female	26		Yes	2	Windows	768	1366	Mozilla	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	3P59JYT76LJP26YE390WW9RCQPO2TV	3	Submitted	Thu Nov 27 08:28:11 PST 2014	Mon Nov 24 08:25:45 PST 2014	Mon Nov 24 08:28:11 PST 2014						[]	{}	2.353266667	'she saw it or can hear it on the roof'	perceptual	hearing_seeing	perceptual_reportative	
3	16963	Linda	dinner	F	Dinner is probably ready.	probably	0.65	7	english	2	Female	26		Yes	2	Windows	768	1366	Mozilla	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	3P59JYT76LJP26YE390WW9RCQPO2TV	3	Submitted	Thu Nov 27 08:28:11 PST 2014	Mon Nov 24 08:25:45 PST 2014	Mon Nov 24 08:28:11 PST 2014						[]	{}	2.353266667	'she knows the time dinner should have been ready'	inferential		inferential	
3	15495	Kenneth	sun	M	I think it's sunny out.	think	0.49	8	english	2	Female	26		Yes	2	Windows	768	1366	Mozilla	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	3P59JYT76LJP26YE390WW9RCQPO2TV	3	Submitted	Thu Nov 27 08:28:11 PST 2014	Mon Nov 24 08:25:45 PST 2014	Mon Nov 24 08:28:11 PST 2014						[]	{}	2.353266667	'he looked up the weather or saw it out the window'	reportative_perceptual	seeing	perceptual_reportative	
4	13864	Stephanie	coffee	F	I think the coffee is cold.	think	0.93	3	English	1	Female	21	I would do more HITs like this.	Yes	2	Mac	800	1280	Chrome	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	35K3O9HUABC7EHST19Q8H6L0WJ6FE2	4	Submitted	Thu Nov 27 08:28:29 PST 2014	Mon Nov 24 08:26:22 PST 2014	Mon Nov 24 08:28:29 PST 2014						[]	{}	2.076983333	'She drank it'	perceptual	tasting	perceptual	
4	14359	Ruth	train	F	The train is late.	bare	0.81	4	English	1	Female	21	I would do more HITs like this.	Yes	2	Mac	800	1280	Chrome	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	35K3O9HUABC7EHST19Q8H6L0WJ6FE2	4	Submitted	Thu Nov 27 08:28:29 PST 2014	Mon Nov 24 08:26:22 PST 2014	Mon Nov 24 08:28:29 PST 2014						[]	{}	2.076983333	'She got a message from someone waiting for the train'	reportative		reportative	
4	16313	Thomas	dinner	M	Dinner is probably ready.	probably	0.62	5	English	1	Female	21	I would do more HITs like this.	Yes	2	Mac	800	1280	Chrome	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	35K3O9HUABC7EHST19Q8H6L0WJ6FE2	4	Submitted	Thu Nov 27 08:28:29 PST 2014	Mon Nov 24 08:26:22 PST 2014	Mon Nov 24 08:28:29 PST 2014						[]	{}	2.076983333	It seems like the time has passed until dinner and he feels it's ready	inferential		inferential	
4	10719	Mary	rain	F	I know it's raining.	know	0.9	6	English	1	Female	21	I would do more HITs like this.	Yes	2	Mac	800	1280	Chrome	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	35K3O9HUABC7EHST19Q8H6L0WJ6FE2	4	Submitted	Thu Nov 27 08:28:29 PST 2014	Mon Nov 24 08:26:22 PST 2014	Mon Nov 24 08:28:29 PST 2014						[]	{}	2.076983333	'She saw rain outside'	perceptual	seeing	perceptual	
4	14553	Jacob	sun	M	It might be sunny out.	might	0.53	7	English	1	Female	21	I would do more HITs like this.	Yes	2	Mac	800	1280	Chrome	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	35K3O9HUABC7EHST19Q8H6L0WJ6FE2	4	Submitted	Thu Nov 27 08:28:29 PST 2014	Mon Nov 24 08:26:22 PST 2014	Mon Nov 24 08:28:29 PST 2014						[]	{}	2.076983333	He is taking a guess. Maybe he feels warm and assumes it's the sun	inferential		inferential	
4	25814	Catherine	dog	F	The neighbor's dog must be barking.	must	0.61	8	English	1	Female	21	I would do more HITs like this.	Yes	2	Mac	800	1280	Chrome	373L46LKP65NJZ85QJNU6FUDVGYJK5	36R4ILE2G9301YUKU0YTY5FL2Q6HFL	Language study	A 10-minute experiment where you answer some questions about events	language experiment study communication stanford fun cognitive science	$0.40 	Mon Nov 24 08:24:49 PST 2014	60	0	0	0	Reviewable	NotReviewed	1 condition	2400	259200	Thu Nov 27 08:24:49 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUDVGYJK5	35K3O9HUABC7EHST19Q8H6L0WJ6FE2	4	Submitted	Thu Nov 27 08:28:29 PST 2014	Mon Nov 24 08:26:22 PST 2014	Mon Nov 24 08:28:29 PST 2014						[]	{}	2.076983333	The neighbor's dog barks all the time so is probably doing it now too.	inferential		inferential	
